date,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29,2024-03-01,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-04-01,2024-04-02,2024-04-03,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-29,2024-04-30,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30,2024-10-31,2024-11-01,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-30,2024-12-31
东证期货,12779.0,11655.0,14787.0,18836.0,23141.0,24045.0,23504.0,17857.0,14869.0,14867.0,16940.0,15163.0,19641.0,8358.0,24458.0,25221.0,24219.0,24916.0,19982.0,24007.0,26609.0,29982.0,19178.0,27983.0,25300.0,18559.0,14853.0,12955.0,10688.0,6353.0,26566.0,12874.0,10814.0,9852.0,8241.0,16509.0,9859.0,10242.0,7633.0,10268.0,3522.0,6947.0,5865.0,6676.0,8602.0,4015.0,4209.0,2532.0,6959.0,5424.0,4801.0,5644.0,11868.0,6554.0,8249.0,7713.0,11092.0,5580.0,11383.0,6417.0,4834.0,6558.0,5922.0,7630.0,7669.0,6679.0,15785.0,13488.0,8541.0,6187.0,3838.0,6442.0,6875.0,6393.0,5025.0,12985.0,12871.0,11226.0,7859.0,3628.0,3719.0,4783.0,6699.0,4907.0,4048.0,6524.0,8534.0,9784.0,7909.0,4261.0,4021.0,6170.0,6375.0,5471.0,3995.0,4077.0,5920.0,4527.0,6348.0,5553.0,3784.0,7861.0,7190.0,8520.0,5648.0,6028.0,8031.0,3783.0,4658.0,3955.0,2824.0,2527.0,6310.0,5750.0,3816.0,5463.0,6126.0,4247.0,5414.0,3147.0,4680.0,7573.0,4654.0,7332.0,2470.0,6363.0,4945.0,4672.0,4691.0,5079.0,2863.0,2507.0,3921.0,3571.0,7000.0,7084.0,6756.0,5241.0,6936.0,8523.0,5226.0,5486.0,8566.0,9708.0,6620.0,6921.0,4908.0,2642.0,4789.0,4331.0,11847.0,4649.0,4363.0,4219.0,4040.0,3827.0,4489.0,3405.0,2387.0,4369.0,3546.0,7378.0,5566.0,5159.0,5913.0,4355.0,6113.0,9295.0,5898.0,4902.0,5872.0,6640.0,6063.0,7599.0,3433.0,3725.0,14453.0,23138.0,30240.0,26959.0,23793.0,13495.0,17223.0,10308.0,21887.0,16142.0,10837.0,8221.0,2679.0,13146.0,11741.0,8918.0,7884.0,5423.0,6494.0,5171.0,8851.0,6425.0,7181.0,11485.0,7966.0,12863.0,14945.0,24129.0,28318.0,25571.0,19342.0,15145.0,13581.0,13473.0,13190.0,12871.0,8531.0,7662.0,12734.0,11445.0,8111.0,10315.0,8571.0,13890.0,10711.0,6754.0,6901.0,5338.0,10511.0,6025.0,18751.0,7191.0,9472.0,11779.0,6588.0,9788.0,7072.0,5198.0,8198.0,8005.0,3860.0,5789.0,3863.0,5677.0,5277.0,9244.0
南华期货,9317.0,4270.0,4649.0,19038.0,18353.0,22615.0,19296.0,22670.0,11422.0,6317.0,3759.0,5787.0,19120.0,4132.0,7211.0,15039.0,6223.0,1225.0,8585.0,15115.0,15515.0,6267.0,12811.0,17039.0,13227.0,16194.0,13507.0,5099.0,2379.0,581.0,15457.0,3945.0,3111.0,2943.0,3006.0,7472.0,779.0,4186.0,3672.0,5368.0,4867.0,1293.0,930.0,980.0,,6467.0,5820.0,678.0,3801.0,1402.0,1005.0,1534.0,3425.0,1485.0,2633.0,1234.0,2103.0,5177.0,3723.0,1537.0,1029.0,2964.0,1558.0,1665.0,1630.0,1355.0,4961.0,3362.0,3064.0,9636.0,3566.0,1365.0,3303.0,6030.0,4742.0,10789.0,9624.0,6741.0,7689.0,2697.0,3172.0,5729.0,10045.0,6256.0,4810.0,4882.0,9846.0,10418.0,3866.0,2600.0,2109.0,2904.0,4036.0,4770.0,3602.0,4007.0,5529.0,4405.0,5819.0,6848.0,4084.0,7049.0,6183.0,7815.0,3908.0,4576.0,7109.0,4286.0,5507.0,7658.0,9091.0,5999.0,5833.0,3705.0,2792.0,4706.0,5361.0,4181.0,4650.0,3114.0,3854.0,8421.0,3083.0,12099.0,2860.0,7324.0,3509.0,5920.0,5874.0,7493.0,7967.0,9326.0,5619.0,4006.0,8740.0,9342.0,9066.0,3615.0,2332.0,4852.0,1811.0,2579.0,10509.0,10443.0,6930.0,7261.0,5263.0,4282.0,6312.0,4448.0,12977.0,7638.0,2877.0,3537.0,2476.0,2990.0,3365.0,3199.0,1829.0,3315.0,4127.0,7483.0,4069.0,5477.0,3998.0,2035.0,3309.0,5394.0,3164.0,7057.0,5145.0,5495.0,993.0,846.0,,1043.0,9866.0,12169.0,18052.0,6269.0,,2050.0,1919.0,3148.0,2802.0,2421.0,2699.0,2502.0,1646.0,4191.0,978.0,793.0,857.0,597.0,921.0,427.0,910.0,489.0,915.0,975.0,958.0,1840.0,1236.0,1637.0,1760.0,1595.0,1498.0,1765.0,1870.0,478.0,860.0,806.0,423.0,421.0,754.0,,,602.0,647.0,752.0,892.0,627.0,438.0,538.0,1527.0,706.0,1856.0,739.0,1179.0,,977.0,1413.0,1280.0,1429.0,1113.0,559.0,586.0,633.0,336.0,662.0,667.0,
华泰期货,8485.0,9750.0,12485.0,14774.0,15756.0,19534.0,21078.0,16042.0,12423.0,11527.0,16744.0,11873.0,18890.0,7089.0,11779.0,15747.0,19108.0,22585.0,15211.0,14814.0,18715.0,19068.0,13798.0,18400.0,20748.0,15498.0,14477.0,11629.0,6258.0,2641.0,15022.0,7174.0,6561.0,9088.0,8995.0,15047.0,8589.0,8596.0,5056.0,10212.0,7993.0,6491.0,8189.0,8496.0,12383.0,8975.0,12208.0,8151.0,4427.0,4424.0,4189.0,3689.0,7877.0,5831.0,6058.0,4904.0,6651.0,6786.0,8418.0,4540.0,3652.0,5849.0,5247.0,6997.0,4575.0,3695.0,10255.0,10259.0,6237.0,12791.0,5553.0,5957.0,4309.0,5218.0,6444.0,10649.0,10901.0,6085.0,8358.0,3200.0,4278.0,5501.0,8299.0,5773.0,4457.0,6391.0,8915.0,11735.0,5881.0,3187.0,3079.0,4710.0,6141.0,5315.0,3147.0,2786.0,4731.0,3678.0,4909.0,4473.0,3121.0,4632.0,4284.0,5989.0,4568.0,4967.0,6727.0,4484.0,5318.0,5685.0,5575.0,5593.0,6196.0,3293.0,2924.0,4908.0,2434.0,2251.0,3167.0,2007.0,3059.0,5570.0,2769.0,4092.0,1934.0,4949.0,3786.0,3461.0,3953.0,3661.0,5050.0,3999.0,3771.0,3092.0,4727.0,6179.0,5601.0,3010.0,5244.0,7152.0,3543.0,4570.0,7686.0,6151.0,3044.0,3129.0,3228.0,2535.0,3166.0,2765.0,10434.0,5596.0,2758.0,3000.0,3400.0,2176.0,3245.0,2689.0,1606.0,2468.0,2388.0,5172.0,3983.0,4829.0,5033.0,3162.0,3621.0,5823.0,3779.0,3833.0,5280.0,4901.0,5366.0,7518.0,3311.0,2150.0,13265.0,12830.0,26653.0,38585.0,41789.0,24875.0,30814.0,26900.0,30749.0,19404.0,9193.0,11485.0,8781.0,23199.0,13660.0,7436.0,7926.0,5877.0,7161.0,5591.0,8398.0,4990.0,8560.0,9987.0,9069.0,10312.0,9275.0,16359.0,19300.0,14358.0,13114.0,11398.0,11567.0,13422.0,6076.0,4886.0,3860.0,3180.0,5436.0,6881.0,3459.0,4971.0,5230.0,8454.0,6308.0,4895.0,3830.0,4479.0,9513.0,6537.0,14530.0,6241.0,7028.0,11220.0,7208.0,8435.0,4391.0,6384.0,6534.0,4686.0,4950.0,5683.0,2335.0,3855.0,3919.0,6165.0
中信建投,3056.0,2726.0,3373.0,5564.0,6705.0,8029.0,7403.0,6206.0,4495.0,3682.0,4010.0,5050.0,11142.0,7287.0,4023.0,3732.0,3882.0,6489.0,5351.0,5615.0,6532.0,7697.0,4942.0,9220.0,10745.0,4318.0,4449.0,9737.0,9237.0,1855.0,6622.0,4658.0,4403.0,2631.0,2532.0,3369.0,2070.0,2082.0,1353.0,3058.0,3073.0,3463.0,3554.0,3751.0,4480.0,3997.0,4683.0,5189.0,1236.0,1328.0,1346.0,1134.0,2601.0,1393.0,1188.0,1285.0,2151.0,1246.0,2326.0,1070.0,1132.0,1272.0,1262.0,1867.0,1767.0,3046.0,5351.0,5402.0,4561.0,6473.0,4787.0,2437.0,1963.0,1877.0,1802.0,4441.0,5669.0,3312.0,4487.0,2360.0,2198.0,3171.0,4314.0,4625.0,3178.0,4238.0,4484.0,7081.0,3472.0,2161.0,1494.0,2992.0,2533.0,1851.0,1827.0,1253.0,2549.0,1889.0,2700.0,2084.0,1481.0,3179.0,3164.0,2755.0,2044.0,2474.0,2555.0,2595.0,2662.0,2342.0,2740.0,4248.0,2151.0,2060.0,1921.0,1684.0,1842.0,1709.0,1888.0,1316.0,1846.0,3016.0,1749.0,4071.0,1203.0,2489.0,2247.0,2155.0,1787.0,2299.0,3126.0,5177.0,2055.0,1851.0,2511.0,3157.0,2783.0,1406.0,2666.0,3358.0,1271.0,1889.0,3979.0,4462.0,1957.0,2848.0,2844.0,2577.0,2111.0,1886.0,6121.0,4001.0,1932.0,1645.0,1375.0,1235.0,1807.0,1344.0,1429.0,1992.0,1583.0,3935.0,2852.0,2509.0,2555.0,1838.0,2325.0,4429.0,3010.0,3026.0,3556.0,3115.0,3718.0,5105.0,3839.0,2543.0,10304.0,9263.0,16966.0,36738.0,20179.0,12209.0,19012.0,16235.0,11321.0,7727.0,5188.0,5729.0,5356.0,11153.0,6442.0,4740.0,4339.0,4620.0,4120.0,2711.0,4148.0,3560.0,4360.0,4209.0,3565.0,4665.0,4437.0,9314.0,7883.0,8651.0,6406.0,5416.0,5269.0,5019.0,2962.0,2655.0,2208.0,1947.0,4685.0,3959.0,1897.0,3184.0,2444.0,4358.0,3582.0,2128.0,2207.0,2070.0,3837.0,2446.0,7897.0,2469.0,3898.0,7160.0,3819.0,3238.0,1758.0,2505.0,4747.0,2529.0,1954.0,3171.0,2023.0,3207.0,2708.0,3417.0
招商期货,2883.0,1530.0,3498.0,5111.0,6853.0,6546.0,6917.0,5478.0,3316.0,3758.0,4597.0,5344.0,12240.0,6285.0,4834.0,5377.0,6681.0,7237.0,5566.0,4851.0,6006.0,4389.0,4165.0,6033.0,6024.0,5968.0,6792.0,6741.0,5748.0,2064.0,9502.0,3915.0,4650.0,5810.0,4612.0,5569.0,4723.0,4494.0,3553.0,5762.0,3704.0,4876.0,4569.0,5266.0,6255.0,5729.0,5102.0,4424.0,3046.0,1833.0,1593.0,1710.0,3083.0,1550.0,1527.0,2206.0,2246.0,1344.0,2953.0,1908.0,1632.0,1432.0,1727.0,2150.0,2101.0,2157.0,4894.0,4781.0,3329.0,4786.0,4191.0,1263.0,1286.0,2047.0,1080.0,2497.0,2835.0,1790.0,2269.0,1528.0,1457.0,2011.0,2499.0,1602.0,1567.0,3136.0,2924.0,4059.0,2134.0,1217.0,1240.0,2084.0,1644.0,1511.0,1129.0,1571.0,2181.0,1819.0,2391.0,1913.0,1552.0,3022.0,2298.0,2629.0,2178.0,2568.0,3518.0,1190.0,2389.0,2496.0,2959.0,3337.0,2012.0,2177.0,1867.0,1901.0,2230.0,1491.0,1804.0,933.0,2808.0,4196.0,2203.0,2558.0,1133.0,2502.0,1705.0,1922.0,2052.0,2636.0,3332.0,3299.0,1662.0,1811.0,2853.0,2410.0,2305.0,1409.0,2487.0,4537.0,1777.0,2150.0,4803.0,3919.0,2443.0,3231.0,2416.0,1836.0,1842.0,1683.0,6556.0,5591.0,1441.0,1359.0,1516.0,1531.0,1880.0,1218.0,1063.0,1720.0,1581.0,1784.0,1907.0,2249.0,2032.0,1586.0,2031.0,2809.0,1960.0,1874.0,2352.0,1798.0,2692.0,3253.0,2957.0,1299.0,6573.0,7466.0,9875.0,9538.0,9035.0,3948.0,6208.0,5851.0,8820.0,9801.0,7930.0,6854.0,6348.0,18350.0,4304.0,5444.0,5094.0,2942.0,3655.0,3163.0,3991.0,3976.0,6397.0,4515.0,3589.0,5550.0,3872.0,7117.0,7799.0,8588.0,6783.0,5313.0,5287.0,5776.0,3606.0,3801.0,1969.0,2137.0,3575.0,2709.0,3311.0,2183.0,2546.0,4657.0,3440.0,2266.0,2974.0,2078.0,3827.0,2835.0,7572.0,3292.0,4505.0,4831.0,4101.0,4433.0,2891.0,2834.0,4886.0,2443.0,2150.0,2609.0,1655.0,2591.0,1976.0,3511.0
中信期货,2530.0,3114.0,3250.0,5842.0,4613.0,4594.0,4473.0,3710.0,3364.0,3724.0,4728.0,5302.0,14783.0,9370.0,4521.0,3871.0,4489.0,7138.0,5111.0,3312.0,3655.0,5400.0,4643.0,6598.0,9740.0,9134.0,6373.0,8335.0,5074.0,1937.0,7418.0,4036.0,4645.0,3768.0,3136.0,4777.0,3127.0,2801.0,2333.0,3851.0,3249.0,2963.0,3627.0,4983.0,5700.0,4467.0,5040.0,4950.0,3304.0,2348.0,3041.0,2408.0,4462.0,2657.0,2908.0,2754.0,4670.0,2128.0,4902.0,1781.0,1953.0,2130.0,2069.0,3432.0,3523.0,3406.0,5925.0,6230.0,4921.0,6197.0,3942.0,3080.0,1882.0,1601.0,1712.0,3696.0,4168.0,2686.0,2423.0,920.0,1415.0,1973.0,1556.0,1841.0,1601.0,3118.0,3373.0,4656.0,2920.0,1081.0,1527.0,2128.0,1754.0,1416.0,1220.0,1243.0,2484.0,1789.0,3226.0,2101.0,1324.0,2320.0,1477.0,2731.0,1742.0,1454.0,2818.0,1249.0,1862.0,2615.0,2836.0,4343.0,2886.0,1772.0,1641.0,1598.0,1932.0,1220.0,2916.0,1404.0,1691.0,2427.0,1364.0,2323.0,967.0,1497.0,1591.0,2040.0,1637.0,1590.0,2502.0,4249.0,1415.0,1415.0,2559.0,2606.0,2173.0,1305.0,2329.0,2757.0,2188.0,2299.0,3583.0,3887.0,2326.0,2701.0,2423.0,2308.0,2804.0,1835.0,7518.0,4970.0,1736.0,1742.0,1352.0,1426.0,1572.0,1336.0,940.0,2090.0,2020.0,4036.0,2544.0,2101.0,1992.0,1755.0,2216.0,3768.0,2489.0,2633.0,2244.0,2307.0,2566.0,4926.0,3603.0,1704.0,7304.0,8755.0,10649.0,17556.0,15974.0,9955.0,11534.0,11982.0,11607.0,8525.0,6676.0,6301.0,6730.0,13144.0,5241.0,5438.0,6992.0,5158.0,5379.0,4267.0,5990.0,6105.0,7087.0,9454.0,6088.0,9242.0,9165.0,14856.0,16473.0,18065.0,16086.0,11787.0,11577.0,11089.0,5898.0,8250.0,3202.0,2999.0,5484.0,7127.0,4403.0,4896.0,4366.0,8225.0,6409.0,4909.0,4998.0,4547.0,8364.0,6158.0,12640.0,6265.0,7118.0,10811.0,6574.0,7485.0,7025.0,6514.0,6194.0,3850.0,3952.0,4523.0,2686.0,4859.0,3349.0,6614.0
国泰君安,1921.0,1839.0,3171.0,3228.0,3086.0,4188.0,2659.0,2668.0,3147.0,3357.0,4179.0,4635.0,6801.0,3595.0,3288.0,2959.0,3836.0,5171.0,3303.0,3188.0,3703.0,4812.0,3634.0,3730.0,3788.0,4273.0,2870.0,3908.0,2982.0,1575.0,5176.0,2359.0,2646.0,3502.0,2862.0,3810.0,2695.0,2703.0,2130.0,3164.0,2579.0,3423.0,3276.0,3812.0,4340.0,4245.0,4436.0,4133.0,1927.0,885.0,822.0,759.0,2175.0,1043.0,1202.0,1046.0,2190.0,1156.0,2077.0,916.0,1086.0,1808.0,1569.0,2272.0,2080.0,2698.0,3653.0,3216.0,3077.0,2538.0,2235.0,1208.0,1359.0,1344.0,1620.0,2766.0,3266.0,2704.0,2474.0,1134.0,1413.0,1652.0,2396.0,2460.0,2136.0,3656.0,3120.0,4716.0,2064.0,1554.0,1927.0,3225.0,2533.0,1665.0,1399.0,1561.0,2452.0,1641.0,3160.0,1655.0,1197.0,2669.0,2369.0,3832.0,2379.0,3035.0,3746.0,1794.0,3950.0,3661.0,3087.0,3156.0,1713.0,1762.0,1682.0,1718.0,2127.0,1172.0,1608.0,865.0,2229.0,4246.0,1926.0,3607.0,1428.0,2811.0,2713.0,1959.0,2430.0,2343.0,2922.0,2679.0,1701.0,2190.0,3001.0,3235.0,3045.0,1837.0,2344.0,3653.0,1604.0,2140.0,5451.0,4103.0,2512.0,4102.0,3810.0,2831.0,2881.0,2411.0,7628.0,3947.0,2019.0,1446.0,1828.0,1673.0,1840.0,2024.0,986.0,2461.0,2143.0,4006.0,3006.0,2583.0,3317.0,2688.0,2391.0,5674.0,3849.0,3024.0,3562.0,3059.0,3016.0,3845.0,3269.0,1836.0,6132.0,5878.0,7625.0,10152.0,7490.0,13886.0,7892.0,8090.0,6847.0,7294.0,6343.0,5532.0,5513.0,11808.0,3399.0,3773.0,4273.0,4032.0,4048.0,3301.0,3782.0,3667.0,5111.0,4413.0,3869.0,5120.0,5988.0,8400.0,10130.0,9255.0,9122.0,8029.0,7739.0,7824.0,3820.0,5100.0,2634.0,3220.0,4963.0,5243.0,3732.0,4883.0,3798.0,6887.0,5027.0,3219.0,3552.0,2805.0,6471.0,4225.0,9291.0,4130.0,4916.0,8486.0,5750.0,6476.0,6290.0,5292.0,7433.0,3931.0,4527.0,4830.0,2948.0,4285.0,4306.0,6080.0
中泰期货,1878.0,1173.0,3086.0,2773.0,3776.0,4199.0,3296.0,2985.0,3098.0,3890.0,4212.0,4870.0,7133.0,3928.0,3355.0,3977.0,4514.0,5062.0,3221.0,3230.0,4679.0,5603.0,4092.0,7469.0,5176.0,3693.0,2709.0,4344.0,3109.0,1080.0,5909.0,2897.0,2260.0,2198.0,2121.0,3031.0,2115.0,1784.0,1493.0,2532.0,2093.0,2706.0,2272.0,3309.0,3796.0,2217.0,2461.0,1420.0,1713.0,1104.0,1011.0,1129.0,1922.0,921.0,1242.0,1174.0,2283.0,1122.0,2232.0,1151.0,1260.0,1429.0,1703.0,1681.0,1854.0,1876.0,4566.0,3309.0,2676.0,2242.0,879.0,1313.0,1409.0,1342.0,1286.0,3240.0,3405.0,2316.0,2512.0,816.0,1105.0,1635.0,2568.0,2288.0,1418.0,2634.0,1821.0,2910.0,1609.0,863.0,682.0,2107.0,1884.0,1441.0,1032.0,1330.0,2055.0,1338.0,2197.0,2235.0,1110.0,3089.0,1913.0,2794.0,2005.0,1803.0,2732.0,1892.0,2152.0,1739.0,1749.0,1473.0,1832.0,1827.0,1014.0,1358.0,1613.0,1123.0,1366.0,558.0,1331.0,2530.0,1303.0,2416.0,883.0,1710.0,1354.0,1346.0,1652.0,1545.0,1979.0,1056.0,768.0,1049.0,1328.0,1502.0,1460.0,911.0,1068.0,3289.0,1264.0,1805.0,2892.0,3604.0,2230.0,2582.0,2188.0,1866.0,1420.0,1290.0,3291.0,1479.0,454.0,493.0,440.0,543.0,891.0,362.0,383.0,476.0,959.0,2393.0,1610.0,1173.0,1160.0,852.0,1426.0,1863.0,1795.0,988.0,1526.0,1358.0,2518.0,2834.0,1207.0,695.0,2770.0,3427.0,6493.0,5677.0,3659.0,2780.0,5064.0,3651.0,7273.0,6697.0,5217.0,4690.0,3451.0,7402.0,3816.0,3154.0,3413.0,3543.0,4076.0,2240.0,2987.0,3030.0,3429.0,2704.0,2566.0,4877.0,4505.0,6393.0,6166.0,7902.0,5861.0,4856.0,4835.0,3513.0,2546.0,1988.0,1392.0,1335.0,2672.0,2192.0,1669.0,1902.0,1936.0,2807.0,2135.0,1663.0,1234.0,1678.0,3049.0,1810.0,5355.0,2318.0,2927.0,4496.0,3080.0,2347.0,2077.0,2126.0,2613.0,1727.0,1804.0,1515.0,1179.0,975.0,1242.0,2496.0
浙商期货,1639.0,2006.0,2106.0,4357.0,10808.0,12648.0,16614.0,4518.0,9159.0,11087.0,9293.0,11714.0,24724.0,9664.0,10379.0,13871.0,12604.0,27380.0,17869.0,14094.0,20783.0,22393.0,13491.0,21901.0,24846.0,14674.0,16203.0,8073.0,3302.0,928.0,13915.0,13087.0,9979.0,8151.0,5331.0,10847.0,3044.0,5940.0,1751.0,3862.0,2658.0,3586.0,4031.0,3657.0,3446.0,1737.0,9257.0,4688.0,2540.0,3948.0,905.0,1630.0,2254.0,1254.0,1440.0,4718.0,3461.0,1393.0,2891.0,1661.0,1326.0,985.0,843.0,816.0,516.0,2772.0,8490.0,13349.0,8072.0,12055.0,4054.0,1383.0,4761.0,1146.0,868.0,5195.0,6720.0,2478.0,4423.0,1914.0,1259.0,2456.0,5144.0,2380.0,2185.0,,,1823.0,1966.0,757.0,817.0,1595.0,1664.0,1415.0,738.0,889.0,1642.0,1140.0,2290.0,1740.0,1060.0,1644.0,3478.0,2173.0,2091.0,1668.0,3735.0,2035.0,2315.0,2677.0,2982.0,3291.0,1408.0,947.0,1388.0,638.0,559.0,1138.0,1338.0,1211.0,1795.0,4853.0,1571.0,1965.0,415.0,1062.0,542.0,2363.0,2965.0,1558.0,1448.0,903.0,1395.0,1127.0,1864.0,1442.0,2182.0,1339.0,1135.0,2067.0,1061.0,783.0,1238.0,1190.0,1072.0,1925.0,2559.0,2489.0,3046.0,2642.0,,,1107.0,277.0,442.0,1011.0,1289.0,1380.0,905.0,1933.0,1670.0,3382.0,3389.0,3103.0,3477.0,2574.0,3289.0,4723.0,3674.0,2297.0,3061.0,3400.0,3528.0,6588.0,2403.0,717.0,4969.0,7868.0,30504.0,31989.0,20600.0,8858.0,26280.0,18922.0,28480.0,23706.0,11422.0,10148.0,11886.0,19732.0,14480.0,7754.0,6437.0,2651.0,4887.0,3251.0,7146.0,3917.0,6427.0,8267.0,3176.0,11677.0,10140.0,20368.0,21030.0,,14396.0,14374.0,,,5017.0,3738.0,1704.0,1462.0,2588.0,4178.0,4185.0,3684.0,2847.0,6346.0,4206.0,3496.0,3474.0,4012.0,9829.0,4905.0,12118.0,3487.0,5224.0,6376.0,4929.0,7523.0,5207.0,7791.0,,2269.0,2393.0,4391.0,1238.0,2629.0,2194.0,4511.0
银河期货,1501.0,1738.0,1478.0,1984.0,1985.0,1712.0,1262.0,1904.0,1767.0,1834.0,2137.0,2463.0,3446.0,3033.0,1111.0,907.0,1868.0,2698.0,1478.0,1635.0,2153.0,2132.0,1890.0,2327.0,1991.0,2255.0,2419.0,,,1080.0,3146.0,1581.0,2029.0,2576.0,2208.0,3091.0,1858.0,1541.0,1561.0,1957.0,1214.0,1417.0,1168.0,1552.0,1228.0,1520.0,1157.0,1346.0,928.0,869.0,1158.0,807.0,1540.0,988.0,846.0,854.0,1124.0,636.0,1027.0,613.0,693.0,741.0,632.0,731.0,708.0,547.0,1210.0,1143.0,892.0,890.0,962.0,781.0,567.0,669.0,451.0,1300.0,1571.0,932.0,929.0,396.0,315.0,654.0,993.0,946.0,612.0,,,,1098.0,669.0,569.0,776.0,1290.0,700.0,535.0,680.0,1242.0,1003.0,860.0,839.0,598.0,918.0,980.0,1258.0,811.0,1200.0,1656.0,546.0,1175.0,1283.0,1213.0,1505.0,913.0,909.0,815.0,1118.0,1305.0,1426.0,1126.0,599.0,1318.0,2383.0,1213.0,2044.0,843.0,1372.0,1042.0,1182.0,1463.0,1403.0,1658.0,1841.0,1143.0,1028.0,1589.0,1943.0,1775.0,913.0,1762.0,2225.0,903.0,1115.0,1507.0,2204.0,1398.0,1121.0,1051.0,935.0,1217.0,942.0,,,1298.0,905.0,1268.0,805.0,801.0,639.0,458.0,831.0,912.0,1957.0,1317.0,1095.0,942.0,764.0,1671.0,1664.0,1462.0,1164.0,1313.0,1669.0,1479.0,1894.0,1437.0,763.0,2639.0,2329.0,3928.0,3309.0,3166.0,2978.0,2812.0,3644.0,3873.0,2578.0,1972.0,2078.0,2094.0,,1915.0,1736.0,1665.0,929.0,1297.0,1183.0,1519.0,1567.0,1618.0,1957.0,1373.0,1831.0,1410.0,2838.0,3183.0,,,,,,1464.0,1394.0,1053.0,652.0,1400.0,982.0,713.0,1480.0,1025.0,2001.0,1140.0,1000.0,1222.0,1010.0,1557.0,1373.0,2679.0,1312.0,1338.0,2073.0,1642.0,1719.0,1104.0,1033.0,,1008.0,900.0,1116.0,813.0,990.0,643.0,1263.0
